path_id,vulnerability_signature,baseline_rank,entry_service_name,entry_service_port,entry_protocol,entry_asset_type,entry_zone,entry_asset_criticality,target_asset_type,target_zone,target_criticality_score,vulnerability_count,cve_count,nvt_only_count,cve_coverage,maximum_cvss,mean_cvss,minimum_cvss,maximum_epss,mean_epss,kev_count,kev_present,hop_count,exploit_stage_count,access_condition_count,scenario_assumption_count,observed_condition_count,average_access_confidence,baseline_risk_score,baseline_risk_level
PATH-0148,CVE-2018-6378,82,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,6.1,6.1,6.1,0.01413,0.01413,0,0,7,1,2,1,1,0.75,39.0594,Medium
PATH-0090,CVE-2017-7985,83,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,6.1,6.1,6.1,0.01333,0.01333,0,0,7,1,2,1,1,0.75,39.038,Medium
PATH-0142,CVE-2017-7985,84,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,6.1,6.1,6.1,0.01333,0.01333,0,0,7,1,2,1,1,0.75,39.038,Medium
PATH-0087,CVE-2017-11612,85,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,6.1,6.1,6.1,0.00965,0.00965,0,0,7,1,2,1,1,0.75,38.9397,Medium
PATH-0139,CVE-2017-11612,86,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,6.1,6.1,6.1,0.00965,0.00965,0,0,7,1,2,1,1,0.75,38.9397,Medium
PATH-0091,CVE-2017-7986,87,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,6.1,6.1,6.1,0.00787,0.00787,0,0,7,1,2,1,1,0.75,38.8921,Medium
PATH-0143,CVE-2017-7986,88,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,6.1,6.1,6.1,0.00787,0.00787,0,0,7,1,2,1,1,0.75,38.8921,Medium
PATH-0020,CVE-2009-1339,89,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,6.0,6.0,6.0,0.00748,0.00748,0,0,7,1,2,1,1,0.75,38.5255,Medium
PATH-0010,CVE-2004-2320,90,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.02582,0.02582,0,0,7,1,2,1,1,0.75,38.303,Medium
PATH-0051,CVE-2004-2320,91,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.02582,0.02582,0,0,7,1,2,1,1,0.75,38.303,Medium
PATH-0109,CVE-2004-2320,92,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.02582,0.02582,0,0,7,1,2,1,1,0.75,38.303,Medium
PATH-0011,CVE-2004-2763,93,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.02178,0.02178,0,0,7,1,2,1,1,0.75,38.195,Medium
